"when","monitor_ambient_1","monitor_ambient_2","pipe_inlet","pipe_outlet","sensor_A","sensor_AB","sensor_CD","sensor_EF","sensor_F","sensor_G","sensor_GH","sensor_H","sensor_K","sensor_L","sensor_M","sensor_N","sensor_O","sensor_Q","sensor_T","sensor_U","sensor_X","sensor_Z"
"2018.09.17_02:3",23.5250 ,20.8875 ,17.8000 ,17.9750 ,57.2000 ,54.5625 ,63.5341 ,65.6420 ,65.7273 ,62.1875 ,62.4602 ,18.0875 , , , ,62.0795 ,50.8125 ,64.3750 ,72.3011 ,61.1875 , ,55.2045 
"2018.09.17_02:4",23.5069 ,20.7014 ,17.7750 ,17.9937 ,57.1500 ,54.5562 ,63.5125 ,65.7375 ,65.7625 ,62.1875 ,62.5750 ,18.1000 , , , ,62.1250 ,50.8062 ,64.4375 ,72.3312 ,61.1875 , ,55.2437 
"2018.09.17_02:5",23.4625 ,20.5000 ,17.7500 ,17.8466 ,57.1705 ,54.5562 ,63.5500 ,65.8438 ,65.8125 ,62.1875 ,62.6938 ,17.9148 , , , ,62.1313 ,50.8000 ,64.5000 ,72.3750 ,61.1875 , ,55.2437 
"2018.09.17_03:0",23.4375 ,20.6938 ,17.7500 ,17.7500 ,57.2500 ,54.5568 ,63.5682 ,65.9148 ,65.8580 ,62.1875 ,62.8068 ,17.8375 , , , ,62.1818 ,50.7727 ,64.5511 ,72.4205 ,61.1875 , ,55.2500 
"2018.09.17_03:1",23.4097 ,20.3750 ,17.7188 ,17.7375 ,57.2500 ,54.5438 ,63.6437 ,66.0125 ,65.9000 ,62.2500 ,62.9125 ,17.8250 , , , ,62.1875 ,50.7625 ,64.6125 ,72.4437 ,61.2125 , ,55.2500 
"2018.09.17_03:2",23.2937 ,20.5125 ,17.7330 ,17.8011 ,57.2500 ,54.5000 ,63.6187 ,66.1000 ,65.9375 ,62.2500 ,63.0312 ,17.8807 , , , ,62.2500 ,50.7500 ,64.6688 ,72.5000 ,61.2500 , ,55.2500 
"2018.09.17_03:3",23.3000 ,20.6125 ,17.6625 ,17.6625 ,57.2500 ,54.5000 ,63.6534 ,66.1818 ,65.9943 ,62.2500 ,63.1420 ,17.7250 , , , ,62.3068 ,50.7614 ,64.7386 ,72.5284 ,61.2500 , ,55.2500 
"2018.09.17_03:4",23.2778 ,20.5972 ,17.6250 ,17.6625 ,57.2625 ,54.5000 ,63.7812 ,66.2625 ,66.0312 ,62.2563 ,63.2563 ,17.7250 , , , ,62.3125 ,50.7750 ,64.8000 ,72.5625 ,61.2500 , ,55.2500 
"2018.09.17_03:5",23.2000 ,20.6562 ,17.6591 ,17.7500 ,57.2216 ,54.5063 ,63.8000 ,66.3375 ,66.0625 ,62.2687 ,63.3625 ,17.8523 , , , ,62.3125 ,50.7750 ,64.8500 ,72.5938 ,61.2500 , ,55.2500 
"2018.09.17_04:0",23.1875 ,20.2500 ,17.6875 ,17.8188 ,57.1812 ,54.5000 ,63.8011 ,66.4205 ,66.1250 ,62.3125 ,63.4602 ,17.9375 , , , ,62.3636 ,50.7841 ,64.9205 ,72.6250 ,61.2500 , ,55.2500 
"2018.09.17_04:1",23.1875 ,20.4722 ,17.6875 ,17.8438 ,57.1250 ,54.5000 ,63.7687 ,66.4938 ,66.1562 ,62.3125 ,63.5750 ,17.9688 , , , ,62.3750 ,50.7938 ,64.9813 ,72.6688 ,61.2500 , ,55.2500 
"2018.09.17_04:2",23.1812 ,20.4875 ,17.6818 ,17.6932 ,57.0625 ,54.4937 ,63.8188 ,66.5563 ,66.1875 ,62.3125 ,63.6812 ,17.7273 , , , ,62.3813 ,50.8000 ,65.0312 ,72.6875 ,61.2500 , ,55.2500 
"2018.09.17_04:3",23.1750 ,20.2000 ,17.6187 ,17.6125 ,57.0625 ,54.4489 ,63.8239 ,66.6420 ,66.2386 ,62.3295 ,63.7784 ,17.6687 , , , ,62.4375 ,50.8068 ,65.0909 ,72.7273 ,61.2670 , ,55.2500 
"2018.09.17_04:4",23.1250 ,20.4125 ,17.5938 ,17.6313 ,57.0250 ,54.4375 ,63.8125 ,66.7062 ,66.2750 ,62.3625 ,63.8875 ,17.7250 , , , ,62.4375 ,50.8062 ,65.1625 ,72.7500 ,61.3062 , ,55.2500 
"2018.09.17_04:5",23.1181 ,20.5972 ,17.5511 ,17.6875 ,56.8920 ,54.4375 ,63.7563 ,66.7750 ,66.3125 ,62.3750 ,63.9813 ,17.8125 , , , ,62.4937 ,50.7812 ,65.2062 ,72.7687 ,61.3062 , ,55.2500 
"2018.09.17_05:0",23.0625 ,20.2750 ,17.5188 ,17.6000 ,56.8375 ,54.4091 ,63.7841 ,66.8466 ,66.3580 ,62.3750 ,64.0909 ,17.6938 , , , ,62.4943 ,50.7898 ,65.2727 ,72.8068 ,61.3125 , ,55.2727 
"2018.09.17_05:1",23.0250 ,20.2375 ,17.4937 ,17.5375 ,56.7750 ,54.3750 ,63.8188 ,66.9188 ,66.3937 ,62.3750 ,64.1813 ,17.6125 , , , ,62.5000 ,50.7812 ,65.3312 ,72.8125 ,61.3125 , ,55.2875 
